scenario,loss_percent,runs,mean_truth_packets,detector_detection_pct,zeek_detection_pct,suricata_detection_pct,detector_recall_pct,zeek_recall_pct,suricata_recall_pct,detector_ttd_s,zeek_ttd_s,suricata_ttd_s,detector_processed_pps
reliability-arp-mitm-dns,0,15,8.6,100.0,100.0,100.0,100.0,100.0,100.0,13.781253333333334,13.7799268,13.7799268,38.40062067278321
reliability-arp-mitm-dns,10,15,8.8,100.0,100.0,100.0,88.70370370370371,88.70370370370371,88.70370370370371,12.671239066666667,12.670049133333332,12.670049133333332,34.534648551609514
reliability-arp-mitm-dns,20,15,8.733333333333333,100.0,100.0,100.0,82.87037037037037,82.87037037037037,82.87037037037037,12.6384458,12.6372812,12.6372812,30.637895314762254
reliability-arp-mitm-dns,30,15,8.866666666666667,100.0,100.0,100.0,66.11111111111111,66.11111111111111,65.27777777777779,13.707120466666666,13.706035533333333,13.706035533333333,26.890068942845502
reliability-arp-mitm-dns,40,15,8.866666666666667,100.0,100.0,100.0,60.09259259259259,60.09259259259259,60.09259259259259,13.387369,13.386096266666666,13.386096266666666,22.54958017107168
reliability-arp-mitm-dns,50,15,8.8,100.0,100.0,100.0,55.46296296296296,55.46296296296296,55.46296296296296,13.581446133333333,13.580041466666668,13.580041466666668,19.1955090616097
reliability-arp-mitm-dns,60,15,8.866666666666667,100.0,100.0,100.0,40.74074074074074,40.74074074074074,40.74074074074074,16.1776318,16.176432533333333,16.176432533333333,15.093064135705959
reliability-arp-mitm-dns,70,15,8.8,100.0,100.0,100.0,29.629629629629626,29.629629629629626,29.629629629629626,16.318975466666668,16.317889,16.317887466666665,10.969255482516148
reliability-arp-mitm-dns,80,15,8.933333333333334,86.66666666666667,100.0,100.0,16.38888888888889,22.314814814814817,22.314814814814817,23.968134846153845,16.889391933333332,16.889391933333332,7.225048079361567
reliability-arp-mitm-dns,90,15,8.933333333333334,46.666666666666664,66.66666666666666,66.66666666666666,6.7592592592592595,9.722222222222223,9.722222222222223,25.063871285714285,19.8954131,19.8954131,3.639025794635323
reliability-arp-mitm-dns,100,15,8.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
reliability-dhcp-spoof,0,15,16.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,63.394550379795966
reliability-dhcp-spoof,10,15,16.0,100.0,100.0,100.0,89.16666666666667,89.16666666666667,89.16666666666667,0.0014617333333333334,0.0013069333333333333,0.0013069333333333333,57.298905216206144
reliability-dhcp-spoof,20,15,16.0,100.0,100.0,100.0,80.83333333333333,80.83333333333333,80.83333333333333,0.07067060000000001,0.0704482,0.0704482,50.77790395640481
reliability-dhcp-spoof,30,15,16.0,100.0,100.0,100.0,68.33333333333333,68.33333333333333,68.33333333333333,0.07451500000000001,0.07396666666666667,0.07396666666666667,44.45283834994817
reliability-dhcp-spoof,40,15,16.0,100.0,100.0,100.0,60.83333333333333,60.83333333333333,60.83333333333333,0.138853,0.13838726666666668,0.13838726666666668,37.92802210401707
reliability-dhcp-spoof,50,15,16.0,100.0,100.0,100.0,42.916666666666664,42.916666666666664,42.916666666666664,0.34830313333333335,0.3474336,0.3474336,31.52698478516681
reliability-dhcp-spoof,60,15,16.0,100.0,100.0,100.0,38.75,38.75,38.75,0.34595706666666665,0.3453271333333333,0.3453271333333333,25.181048266127437
reliability-dhcp-spoof,70,15,16.0,100.0,100.0,100.0,35.41666666666667,35.41666666666667,35.41666666666667,0.9041489333333333,0.9031519333333333,0.9031519333333333,19.69366510574277
reliability-dhcp-spoof,80,15,16.0,100.0,100.0,100.0,22.5,22.5,22.5,1.2433826000000001,1.2423151333333333,1.2423151333333333,12.708263699926478
reliability-dhcp-spoof,90,15,16.0,100.0,100.0,100.0,11.25,11.25,11.25,3.240676,3.2395370666666667,3.2395370666666667,6.593961870087601
reliability-dhcp-spoof,100,15,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
