loss_percent,dns_detector,dns_zeek,dns_suricata,dhcp_detector,dhcp_zeek,dhcp_suricata
0,13.781253333333334,13.7799268,13.7799268,0.0,0.0,0.0
10,12.671239066666667,12.670049133333332,12.670049133333332,0.0014617333333333334,0.0013069333333333333,0.0013069333333333333
20,12.6384458,12.6372812,12.6372812,0.07067060000000001,0.0704482,0.0704482
30,13.707120466666666,13.706035533333333,13.706035533333333,0.07451500000000001,0.07396666666666667,0.07396666666666667
40,13.387369,13.386096266666666,13.386096266666666,0.138853,0.13838726666666668,0.13838726666666668
50,13.581446133333333,13.580041466666668,13.580041466666668,0.34830313333333335,0.3474336,0.3474336
60,16.1776318,16.176432533333333,16.176432533333333,0.34595706666666665,0.3453271333333333,0.3453271333333333
70,16.318975466666668,16.317889,16.317887466666665,0.9041489333333333,0.9031519333333333,0.9031519333333333
80,23.968134846153845,16.889391933333332,16.889391933333332,1.2433826000000001,1.2423151333333333,1.2423151333333333
90,25.063871285714285,19.8954131,19.8954131,3.240676,3.2395370666666667,3.2395370666666667
100,,,,,,
